1,2,3,4,5
근데... ,응?,정말로 너.. 괜찮은거니? ,들어가서 주무세요.,내가 왜 여기서.. 내가 무슨 짓을 한거야.. 아..
내가 방해했니? 좀 있다가 들어올까? ,"아니야, 들어와. ",기분좋다. ,케이크 하나 사오고 남자친구 오라 그래서 빨리 해주고 치워. ,참.. 
입을 함부로 놀리지 말라뇨? 갑자기 왜 그런 말씀을...? ,"한참 젊은 나이에 일년은 우리 나이의 십년과 맞먹는다. 지난 일년동안 방황하면서 생긴 공백을 메우려면 두배, 세배로 더 일에 전념해도 모자랄텐데 니가 옆에서 괜히 결혼이다 뭐다 떠들어대면 우리 아들이 어디 심난해서 집중이나 할수 있겠니? ",아... 예에. ,어허! 따라 오라면 따라 올 것이지 말이 많아? ,빨리빨리! 얼른 얼른!
왜 그래? ,어? ,왜 그러냐구? 왜? 회사에서 무슨 일 있었어? ,어. 그럼 그걸 누구한테 물어,동생이 미주알고주알 퍽이나 얘기해 주겠다. 동생한테 물어 볼거면 내가 물어보지 그걸 당신을 시키겠냐? 아우 답답해 
안그래두 요즘 우리 회사가 인수합병 소문이 나돌던데...,혹시 너 뭐 좀 아는거 없냐? ,글쎄.. ,자존심은.. 그사람한테 똥싸는 거까지 다 보여줬는데..,그럼 왜 말 안해? 
"신경쓰일거 없어, 그냥 속시원하게 얘기해! 결혼하자구. ",하지만 결혼은 남자가 먼저 해달라고 해야하는거잖어. ,"목마른 놈이 우물판다더라, 결혼에 목마른건 걔가 아니라 너잖어. ",괜찮긴. 만날때부터 눈에 ‘피곤해 죽어’라고 써있었구만. 가서 자요 빨리. 집 앞 까지 바래다 줄게. ,잠깐만요. 
아직두 안했니 그 말? ,어어... ,"그럼 그 말두 니가 먼저 해, 힘들게 기다리지만 말구. ",그쵸. 근데 우리 진짜 언제까지 병원에서만 이렇게 봐야하는 건지 모르겠어요.  ,좀만 더 참아.
좋은 아침!! ,"어어, 왔나? ",다들 왜 그래요? 밖에도 사람들이 잔뜩 모여있던데... 무슨 일 있어요? ,까짓거 당분간 자지 말지 뭐. ,그러다 너 진짜 몸 상해. 
뭐해? ,"어, 아 깜짝이야... ","아버지 아까부터 기다리고 계시던데, 얼른 들어가봐.",고마워요. 역시 우리 애인 밖에 없다.,그걸 이제야.. 푹 쉬어요.
"아무래도 자네 부모님께선 부실공사를 하신 것 같군, 젊은 사람이 왜 그렇게 부실해? ","사실은 제가 오늘 라켓볼은 처음 쳐보는거거든요, 그래서.. ","난 구차하게 변명하는 사내자식치고 변변한 놈 못봤지, ",진짜 있을까요? 그런 회사가?,없나? 없을 수도 있겠네. 
내가 이 어깨를 얼마나 그리워했는지... 넌 모르지? ,일하자. ,"그래, 일해. 난 오분만 쉴테니까. ",네? ,제가 한번 일해 보려구. 저 엄청 힘도 좋고 무지 열심히 할 수 있거든요. 
왔니? ,어. 아직.. 안잤네? ,어. 자야지.,뭐하고 놀아요? ,그냥 이것저것. 
여기 병원이야. 탈수증상땜에 쓰러진거니까 걱정안해두 돼. 이 링거 다 맞는대로 퇴원해도 된다드라. ,이번엔... 진짜 죽는 줄 알았다. ,"그러게 바보같이 뭐하러 그렇게 끝까지 버텨,  못참겠으면 그냥 나오지. 왜 그렇게 우리 아버지한테 꼼짝못해? ",누가 그래줬으면 싶었거든요. 근데 학생 화나니까 되게 무섭네요? 다시 봤어요. ,예? 하..
대표님.. 오늘도 회의가 있으신가봐요. ,"아뇨, 회의 때문에 온거 아니예요. 오늘은.. 당신 때문에 왔어요. 걱정이 되서... ","아, 예에... 어제 그 일은 별 일 아니예요, 신경 안쓰셔두 돼요, ",뭐? ,고장나서 지금 오도가도 못하고 있다는데.. 오늘 진짜 왜 이러지? 무슨 저주가 걸렸나..
나다. ,어.. 엄마. ,"그래, 총각하고는 얘기해봤니? ",지금 회의중인데.. 근데 아버님이 아무래도 오시는게 좋지 않을까요?,뭘 가? 결혼식도 안하고 어떻게 가? 
그래 나다. ,"아, 예에... ",너는 내 말을 귓등으로 알아듣니? ,부조 받아야 되지 않아요? ,친구랑 삼촌이 하면 돼요. 가요. 
뭐라니? 손주는 회사 잘 댕기구 있다니? ,응? 으응. 그렇다네. 근데 얘가 왜 이렇게 기운이 없을까? ,아니 우리 며느리가 기운이 없어? 아니 왜? ,큰 이상은 없는데 스트레스 받으면 가슴이 좀 답답하긴 해. ,스트레스 받지 마세요. 스트레스가 심장에 제일 안 좋은 거예요.   
"미안하네, 한참 일땜에 바쁠텐데 나오라고 불러내서. ",아닙니다 어머님. 그런데 하실 말씀이 뭔지... ,우리 딸이랑 뭐 안좋은 일 있었나? ,과연 잘될까? 우리 누나가 얼마나 유명한 무당인지 모르는구만. 그런 우리 누나가 부적을 써줬는데.. ,뭐? 부적? 부적 같은 소리하네. 그런다고 멀쩡한 결혼식이 어떻게 될까봐? 꿈 깨시지. 
뭐어? 아니 그게 무슨 말이냐? 니가 어떻게 걔를 알어? ,"아버지 생신때 같이 왔더라구요, 그때 인사해서 알아요. 그 뒤로 둘이 따로 저녁도 같이 먹었구요. ",어어... 그랬구나.,뭐?!!,하..어..어떡하죠? 
여자친구는?,"저녁 먹은게 얹혔나봐요, 속이 많이 불편하다고 갔어요. ",뭐야? 아니 걔는 예의 범절도 모른다니?  아무리 속이 더부룩해도 그렇지 어른들이 계신데 인사도 안하구 가? ,수고했어. 들어가 쉬어.,아버님도 내일 힘쓰시려면 오늘 푹 주무세요.
아니 지가 책임질 짓을 했으면 당당하게 책임을 져야할거 아냐! 왜 이제와서 결혼 문제로 니 속을 썩여? 어? ,엄마! 대체 왜 이래! 결혼 문젠 내가 알아서 하게 그냥 두랬지!,니가 알아서 어느 천년에? 언제 결혼해서 언제 애 낳아 키울려구! ,네. 선생님. 주무세요.,그럼 끊습니다. 먼저 끊으세요.
너 지금 뭐라구 했어?,헤어지자구.,왜.,누굴 저주해? ,있어. 부적 하나만 써줘. 아주 진짜 쎈 놈으로. 내가 지금 가지러 갈게.
야.,"응, 얘기해.","나는 너하구 일만 할거야, 일만. 무슨 말인지 알지?",왜 내가 자기한테 관심있다고 생각했지..? 왜 그래요? ,아니예요. 근데 누난 언제 영어회화가 그렇게 늘었어요? 아까 보니까 발음도 장난 아니던데.
당신 왜 이렇게 바보같어? 왜 해외연수를 포기해?,포기한거 아냐. ,그게 포기한게 아니면 뭐야? 그렇게 원했던 일이었잖어!,길 양쪽으로 벚나무 수천그루 있거든요. 꽃이 진짜 눈 오듯이 떨어져요. ,아.. 진짜 예쁘겠다.. 
"그래서, 간다고 했어?",이틀만 생각해보고 결정한다고 했어. 그냥 가볼까하구.. 솔직히 좋은 기회잖아. 이런 기회 아니면 내 주제에 어떻게 해외까지 나가 2년씩이나 공부를 하겠어?,갔다오면! 너 몇살인줄 알어? ,신문 보니까 그날 기상청에서 체육대회한다 그러더라고요.,네? 선생님. 농담두..
그래... 어떻게 지내고 있니? ,죽을맛이야.,나도 비슷해. 일은 잘 되가고?,글쎄요. 저도 약도 보고 가야돼요. ,약도 보구요? 길 잘 모르시면서. 저랑 같이 가요. 
밥은... 잘 챙겨먹구 다니는거야? 좀 여위어보이네. ,니 꼴도 지금 장난 아니거든? 잠은 제대로 자구 일하는거니?,뭐 별루. 그래... 나랑 헤어지고 대표랑 다시 만나니까 좀 편해?,제가요?,별거 아니고. 웨딩케잌이랑 디저트는 여기가 괜찮다 그래서 맡겼는데 직접 확인을 못했거든. 가서 어떤 종류인지 확인 좀 해줘.  
결혼은 어떡하구? 남자친구가 너 다녀오라 순순히 허락하디?,나 결혼 안해 엄마.,결혼 안하면? 그럼 누구랑 할건데?,네? 저도 듣긴 좀 약한데..,그래도 저보단 훨씬 잘하겠죠.
상견례?,둘 다 사회생활 하는 애들인데 언제까지 저러구 살게 두니? 일단 정식으로 결혼부터 시켜놔야지. 남들 보는 눈두 있구.. ,내 말이.. 저기 그럼... 일단 우리끼리라도 상견례 날을 잡을까?,지난번에 학생이 준 CD..일할 때 틀어놓으면 안 심심해서요. ,예..
어디루 가냐?,회사. 너는?,집.,집반장? 집반장이 뭐야? 집반장이 뭔데?,"요즘 집안 돌아가는 꼴도 엉망이고, 집에서 내 오른팔 역할을 할 반장을 하나 뽑을까 하고."
내 차가 저 쪽에 있어서... ,난 버스 정류장이 저쪽이라서... ,저기...,보고 싶으면 너네 집 가서 보지 뭐. 너니까 믿고 맡긴다. 부탁해.,알았어. 
2년내내 거기에만 있는건가?,그렇지. 중간에 왔다갔다하기엔 비행기값도 만만치 않고.,삼주뒤랬나?,직장 구하는 백수가 그럼 한가해요? ,그런가? 오늘은 뭐 했어요? 재밌는 일 없었어요?
나두 나름 귀여운데가 많은데...,그래? 그럼 딸기쥬스 좀 만들어줘봐. 귀여운가 안귀여운가 봐줄테니까.,"삼십분전에 먹었잖어, 또 해달라구?",니가 모르면 누가 알아?,몰라. 그딴 거. 일단 반장부터 되고 그런 건 나중에 생각해보면 되지 뭐.
너 뭐하는거야? 미쳤니? 다 된 밥에 재뿌리자고 작정한거야 지금?,나는 양쪽 모두에게 인수합병후 생길수 있는 상황에 대해 객관적으로 얘기해준것 뿐이야.,내 입장은? 우리 회사 입장은 뭐가 되냐구!,왜긴 왜야.. 넌 누구 뽑을 거야?,응?
정말... 가려구?,음.,인수합병건은 거부로 결국 백지화됐어. ,하..,고마워요. 
한땐 열렬히 좋아했던 여자친구한테 너 너무 솔직한거 아니니? 매너없는 놈!,너니까 더 솔직하게 말하는거야. 그게 너에 대한 예의라고 생각하니까.,"넌 아니었을지 몰라도 나는... 진짜였어 나는 너 때문에 정말로 가슴이 뛰었구, 살아있는거 같았다구.",네?,아까 학생친구 맞죠? 나한테 맘 써주는 거 너무 고마운데 앞으론 정말 그러지 마요. 내가 집안일 하는 건 내 직업이니까 당연한 거예요. 알잖아요. 
그럼 그 뒤로 그 여자분하고는 연락같은것도 안하셨나요?,"미국으로 떠난 지 한달쯤 됐을땐가... 엽서 한장 온거 말고는 없었어요,",2년 내내 한번두요?,진짜요? 왜요? 내 얼굴 안보면 잠이 안 오니까? ,어? 어떻게 알았어요? 
"키야! 이거 좋구나, 좋아, 응? 아니, 자네한테 이런 요리솜씨가 있었나?",요리책에 있는대로 만들어봤는데 드실만 하십니까 아버님?,"드실만 하다뿐인가, 낙지가 아주 입안에 착착감기네, 허허허",전 좀 늦을듯. 그냥 내일 봐요.,아..좀 서운하네. 요즘 너무 바쁜 거 아니에요?
"그러게, 살살 좀 치지...","도대체 페어플레이를 몰라, 페어플레이를! 고부가 쿵짝이 맞아가지구는...","오늘은 또 얼마나 잃었는데, ",하.. 그럼 할 수 없죠 뭐. 어디로 가는데요? 태워다줄게.,아니에요. 근처라 걸어가면 금방이에요. 
죄송합니다! 늦었습니다아!!,얌마! 너 이제 2년차라고 슬슬 개기냐? 빠져가지구! ,"오다가 잠깐 아는 사람을 만나서요, 담부턴 늦지 않도록 하겠습니다! ",아니 얼마나 먹으려고.. 진짜 어제부터 굶었어요?,당연한 거 아니에요? 뷔페라는데~ 돈 값 제대로 해야죠.
오늘도 그 분께서 또 오셨군.,누구요?,수요일의 남자.,어. 혼자 하긴 좀 힘들려나? 주말에 나랑 같이 할까? ,아뇨. 아뇨. 알겠습니다. 
참... 맛있게 드십니다?,"죄송합니다, 제가 서울에 돌아온지 얼마 안되서… 한국 음식만 보면 잠시 정신을 깜빡깜빡 놓네요, 어디까지 말씀하셨죠? 끊지 말고 계속 말씀하시죠? 예?","아뇨, 아닙니다, 어서 드세요. 저는 음식 맛있게 먹는 여자분을 아주 좋아합니다. 복있어 보이고 좋잖습니까? 하하하…",아.. 전 진짜 재밌어서 한건데.. 죄송해요.,아뇨. 죄송하긴요. 내가 미안하죠. 
"어이구 기집애!!! 왔으면 왔다고 언니한테 젤 먼저 연락할것이지! 그래, 건강하게 잘 다녀왔니? 어쩜 어떻게 하나두 안변했니? 그대루다?","언니두 하나두 안늙었네 뭐, 완전 그대루… 어? 뭐야? ","으응, 셋째.",그래? 내가 누나 보면 해놓으라 그럴게.,말도 없이 어디 간 거야? 
거기서 뭐해? 안자구?,엄마...,아직두 시차 적응 못하니?,그냥 딱 봐도 나 맘에 안 들어 하고. 그리고 학교는 왜 맨날 되물어보는지 모르겠어요. 이력서에 다 나와 있는데. 사람 기죽이는 것              도 아니고. ,원래 면접관들이 좀 고압적이고 그렇잖아요.
"정말 인연이라면.. 그래서 언젠가 만나질때가 오면... 그럼 애쓰지 않아도 만나질거야, 그럴거라구 믿어 엄마.",너 나이 먹는건 생각두 안하구?,나만 먹나 뭐? 나두 한 살 먹으면 저두 한 살 먹는걸 뭐. 안그래?,하.. 옷차림이 그래서 그런지 당신 안 같네. 낯설어요. ,무슨. 내가 얼마나 이런 정장 스타일이 잘 어울리는데.
"도대체 내가 어떤 수법을 다 써도 먹히질 않는거야, 말이 통하나, 위협이 통하나... ",그렇다고 자기 애길 상대로 질투를 하냐?,"그 녀석 혼자서 내 아내를 온통 독차지하고 있으니까 그렇지, 이대로 일주일만 더 버티면 그 땐 아무 여자나 붙잡고 자자그러겠어.",뭐 꼭 드레스에 턱시도 입고 찍어야만 웨딩사진인가요? 좋잖아요. 지금도.,네..
싫다구.,"그렇게 생각도 안해보구 대답하지 말고, 한번만 진지하게 생각해봐,",갑자기 왜 이래? 우리 그 동안 잘 지냈잖아. 그런데 갑자기 왜 결혼타령을 하는거야?,아니에요. ,방에 이렇게 누워만 계시면 기분만 우울해져요. 나가요 우리.
그런데도 여전히 끄떡이 없다?,"음, 끄떡이 없어.","언젠가는 당신 맘 알아줄 날 오겠지,",비용을 청구한다든지.,하. 속고만 살았나. 거지 탈출 기념일에 이 정도도 못하나? 
어이!,아! 선배님!,여기가 니 가게냐?,나 드디어 거지 탈출했어요. ,축하해요.
누구냐? 저번에 선 본 그 여자는 아니지?,"아니요,",누군데?,아.. 좀 서운하네.,서운할 것도 많네요. 빨리 가요. 빨리 빨리. 
수리 시작한지 한 이주쯤 됐나...? 앞으로 한달정도는 더 손을 봐야할거 같어.,사람을 쓰지 왜.,"보증금에 앞으로 여섯달치 월세로 대부분 써버렸구, 주방 기자재도 들여놔야하구, 재료비도 두어달치는 확보해놔야하구.. 이것저것 빠듯해.",오늘은 얻어먹어야지.,네?
내가 만든 제 1호 도시락이야. 자.. 어때?,글쎄에... ,어떠냐니까?,오후에 미팅 있어서. 어? 너 이 반코트 나랑 본거잖아. 언제 샀어? ,세일하길래. 잽싸게. 
오늘 저녁 바쁘십니까?,아뇨.,"그럼 6시에 저녁이나 먹죠,",적당히 하지 그럼.,그러신 분이 매번 파김치가 돼서..
"흠, 당신이 기분이 좋지 않군 그래. 오우, 그거 매우 유감인걸? ",하나도 안 똑같애. ,"흐음, 내가 누군지 안단 얘기오?",웨딩촬영 하실 덴 결정하셨어요?,"어. 청담동에 있는 샵인데, 연예인 커플도 많이 찍었던 데래. 스튜디오 보고 왔는데 딱 내 스타일인 거 있지. "
웃었어? 분명히 웃은거지? ,그래. 당신한테 졌다.,"자기는, ",나 너랑 절교했는데.,됐어. 절교는 무슨. 우린 친구도 아니었으니까 절교도 무효야.
기다렸어?,"기다렸지, 그럼. 난 너 보구 싶은데, 넌 나 안보구 싶어?",봤어. 7시 뉴스했지? 여기서두 나와.,아우. 배부르다니까.,하나만 드셔보세요. 하나만.
깼으면 가지?,"한국..사람이에요? 다 당신 나한테 뭐한거야? 빨리 얘기해! 내가 방금도 얘기했지만 호 혹시 나한테 무슨 짓 했으면, ",되게 시끄럽네. 무슨 짓?,무슨 소리야..,당신이 직접 보고 판단해.
뭐야? 이거 놔!,못놔! 내 돈 내놓기 전엔 절대 못 놔!,"아줌마, 호텔비, 택시비, 기물파손비까지 아줌마가 빚진게 한두가진줄 알아! ",미안한데 나 너랑 절교할거야.,웃겨? 누구 맘대로! 나 너랑 암 것도 하기 싫거든. 근데 내가 왜 너랑 사이좋게 절교를 해?! 나 너랑 둘이서 절교 같은 거 하기 싫거든!
"뭐, 뭐야, 이거?","으으으, 당신 미쳤어?",아줌마 미쳤어?,에이 좀 가르쳐 줘 봐. 아님 한번만 더 해봐. 한번만 더 보면 진짜 알 거 같은데.,책보고 배운 거예요. 마술용품은 인터넷으로 샀구요.
아버지? ,왜 이렇게 반가워해?,이거 우리 차였어요? ,굳이 참석 안 해도 돼. 너는 가급적 참석 못하는 방향으로 생각해봐.,네?
사실 아버지 입양동기가 불순하긴 하지만 그래두 우릴 워낙 좋아하시니까 눈감아 드리는거에요. ,동기가 뭔데?,여자들이 이쁜 애들 좋아하니까 여자 꼬실려구 그런거잖아요. ,혹시 꿈 꾸셨어요?,어? 어..아냐. 아침에 북어국이야?
다 드셨어요? ,어. ,저 먼저 나가요. ,취해서..아냐?,아닌데.
어떠냐? 누가 제일 낫냐? ,얼굴이 잘 안보이는데? 봐줘?,됐다. 니가 나서면 게임오번데 고양이한테 생선을 갖다 안기냐? 쇼프로 맡은 보람이 있다. 전부 여자들이잖아. 너 그 스포츠중계 누가 지원이나 하겠냐?,차타면 멀미할 거 같아. 나 그냥 여기서 잘게. 내일 보자.,하.
뭘 마중까지 나오구 그래? 겨우 1주일 갔다오는걸. ,1주일이었어? 근데 어떻게 그렇게 보구 싶어? 10년 된 줄 알았어. ,멘트 바꿔. 맨날 똑같애. ,말해봐. 나 노래 잘해? 못해?,잘하세요.
놀구 있네. ,"아 물론 열 받으시겠죠. 그런데, ",양다리 걸쳤다길래 좀 생긴줄 알았더니 낯짝두 별거 없네?,볼 일 뭐요? 무슨.. 네? 설마 그 볼 일이요? ,응. 잠깐 볼 일 좀. 너 망 좀 볼래?
이거 더 먹어. 아 그 여자 진짜 되게 무식하네. 너 다치진 않았지?,좀 제대로 된 애를 만나. 뭐 그딴 애를 만나구 그래. ,글쎄 그런데.. 한편으론 신선하다. 이런적은 첨이야. 날 두고 양다릴 걸치다니. 걔 생각보다 매력적인데..?,진짜 괜찮아요. ,그럼 같이 마시자. 
음~ 야 벌써 좀 커진거 같지 않냐?,하여간 최신모델이래. 디게 비싸더라. ,담달에 줄게. 야 너 근데 그 얘긴 뭐야? 술 먹구 꽃미남이랑 사고쳤더니 경찰이 와서 돈 뺏어갔대매?,너 오늘 하루 공부 좀 하라고. 나도 마침 하루 시간 비고 내가 수학 요점 정리해 줄게.,안 그러셔도 되는데..
"네? 실장님, ",이제 그만 나오라구.,그게 무슨 말씀이세요? ,근데 왜 수학책을..,묻지 말고 일단 챙겨 나와.
스포츠에 관심 있는 여잔 드문데요?,아버지가 좋아하셔서 어릴 때부터 스포츠중계 많이 봤어요.,우리가 계속 부딪히는게 순전히 우연인가요?,괜찮아. 무슨.,생각해봐. 딸을 막 가졌을 때도 당신 추리소설만 읽었었잖아. 그게 다 애한테 안 좋은 영향을..
"떨어져 죽게 생긴 걸 있는 힘 없는 힘 다해 살려줬더니, 원수?  말 안되지, 이거.","이건 말이 되나? 처음 보는 남자, 그것도 친구 동생한테 사고치자고 엉겨붙는 여자.... 말 돼?","그 그건... 술 먹고 실수할 수도 있지...씨, 누가 알았나 뭐? 그리구, 아무 일도 없었는데 그게 뭐 그렇게",답답해서..,꼴도 보기 싫으니까 들어가.
으응? 넌 이 시간에 동생방에서 뭐 해?,아..아예...그게 이... 자식이 워낙 보고 싶다보니까 흔적이라도 어떻게 느껴볼까 하고.... 흐흐,"임마, 누가 들으면 형제가 아니라 애인인 줄 알겠다. 하여간 유난은... 실없는 소리 말고 가 자. 아침에 생방송 있다며. ",오프면 오프지. 오프일 거 같단 건 또 뭐예요?,누가 바꿔달라 그래서. 시간 괜찮으면 영화나 보러 갈래요?
사람 고문하는 게 취미야? ,어? 깼어요? ,"뭐야 또, 아침부터?",손바닥만해도 옷입니다.,이게 뭐야? 이게 무슨 옷이야? 이게!
뭘로 할래요? 짜장? 카레? 하이라이스도 맛 좋~은데.,30분 준다. 밥 해줘.,아니 저기... 나는 원래 이렇게 소박하게 먹거든요? 이 이거 그냥 밥 아니다? 몸에 좋은 잡곡밥이야. ,시험 진짜 얼마 안 남았지? 전과목 다 한번씩은 봤니? ,아직요. 일단 3월15일까지 영어 수학만이라도 한번은 보고 다른 과목 정리할려구요.         
안돼! 만지지 마! ,밥은 인스턴트에 후식은 냉동 사탕이라..... ,"아이, 장난...하지 말구..요.... 그거 중요한 거거든요?","이 모든 질문에 대답을 해줄 사람은 단 한 명 뿐입니다. 본인이죠. 그 여자를 찾으면 20년 전, 무슨 일이 있었는지 알아낼 수 있을 겁니다. ",20년 동안 꼭꼭 숨었던 여자를 무슨 수로 찾아내. 
사탕 먹고 찌운 살이야?,"먹...먹어 없애는 거 아냐, 이거. ",사탕에 금가루 뿌렸어? 안먹구 얼려놓게? ,예.  ,어느 테이블이었죠? 
"정말 괜찮아요? 아이, 그냥 병원 가지. 내가 맘이 불편하잖아요.",방송국 들어가야 돼요. 아침에 녹화 있어요. ,"여기서 번쩍, 저기서 번쩍이네.",..맞아요. 나도 그 점이 가장 이상했어요. 자살이 아닐 수도 있겠다고 생각했죠. 그래서 부검을 권유했는데 유가족 측에서 강력하게 부검을 거부했어요. ,유가족이요? 
당장 돌아가라 그래. 그렇게 큰 돈두 아닌 걸 갖구 말야...,"고마워. 우리 형이 세상에서 믿을 사람 아줌마 밖에 없다고 한 말, 무슨 뜻인지 알겠다. ",근데 너...,당연하죠. 손님 나갈 때마다 닦는데.. ,"하아, 죽겠구만. 뭘 찾아내라는 거야. "
진짜 괜찮아? 좀 추울텐데에?,괜..찮아... 찬 물에 샤워한 너보단 내가 낫지.,"아~ 전기담요 좋네, 따뜻~한 게. 잘자, 아줌마.","너, 선배를 어떻게 알아?",아까 얘기했잖아요. 아는 사람 이름이랑 똑같다구
"뭐야, 아줌마?? ","여잘 안좋아하는 게 확실하다며? 으-, 뜨듯해. 으으으-, 뜨듯해.... ","아아 진짜.... 근데, 아줌마 이러구 누운 거 그 사탕 준 남자가 알아도 괜찮을까?",...나도 자세한 내막은 모르지만 장물을 찾고 있다고 했어,장물이요? 정확히 어떤 건지도 물어봤나요?
그게 다 뭐냐?,내 꺼.,그니깐 니 꺼 뭐냐구.,.. 사진으로는 죽은 약혼녀랑 비슷해 보이긴 하던데.. ,사진이 찍힌 각도와 빛에 따라 전혀 다른 사람이 비슷하게 보이기도 하잖아.
"세관은 뭐구, 여기 적힌 금액은 또 뭐야?","그대로야. 돈 주고 찾아왔어, 세관에 잡혔던 내 꺼.",그 돈이 어디서 났어? 응? 갑자기 돈이 어디서 났는데?,"...있긴 한데, 그건 왜..",전화 번호 하나 찾아내야 겠다. 번호 뒤에 두자리가 실제 번호와 다를 꺼야. 다 전화해보고 20대 젊은 여자가 사는 집 찾으면 된다. 
"왜 또 왔냐, 싸가지? ",걱정 마. 짐 챙기러 왔으니까.,"저..저기, 밤도 깊은데 내일 아침에 가. 인정 상 하루는 봐줄게.","그래서, 절 찾아오신 이유가 뭐죠? ",이 여자를... 찾아주세요. 
"야, 너 이거 안갖고 가?","아줌마 가져. 하루라도 여기 더 있느니 주고 만다, 내가.","나두 이러기 정말 싫은데,....내일 가라.",어떻게 된 게 메뉴도 피바다야. ,"아, 참. 촌스러워서 상대를 못하겠네"
뭐라구?,"좋다구. 도저히 용서가 안되지만, 도 닦는다 생각하구 한 번만 눈 감아 준다구. 그 대신! 이건 압수야. 니가 나한테 사기친 돈 다 갚을 때까지. ",하...기껏 돈 들여 찾아다놨더니 또 뭐?,기사 붙여주면 되지. ,"쟤가 사모님이야? 그리고 그 기사가 왜 맨날 나야. 돌아가면서 하기로 했잖아. 암튼, 난 몰라. 나 지금 쟤 운전 가르칠 시간 없어. "
"괜찮아, 이제? 임마, 나 얼마나 놀랬는데....","괜...찮아, 이제. 근데 파티 얘긴 뭐야? 무슨 파티?",응. 아나운서의 밤이라구 조촐한 친목모임이야. 이번엔 댄스파티라 파트너 초대하기로 했으니까 니가 가야지. 내 짝꿍이.... 올 거지?,야! ,그 뿐만이 아냐. 장물 중에 아직 발견되지 않은 게 있는데 검찰놈들 제대로 수사도 안하고 넘겨버렸다구. 
어느 쪽이에요? 아버님? 어머님?,네?,어느 분한테 물려받은 코냐구요. 이쁘네.,"맨날 범죄자만 상대하고, 결혼해서 평범하게도 못 살고","됐으니까, 저 앞 찜질방에서 세워봐. "
나 찾어? ,"아 아아니, 찾긴 뭘... 거.. 거기 있었어? ",세 번째 키스가 생각나면 언제든지 와. ,..몇 번 얘기해요? 이 차 밖에 없다니까!,...그래요. 이 차 밖에 없는 걸로 칩시다. 찾아서 나오면 재밌어 지는 거고.. 그럼 수고해요. 
스물 여섯이 되도록 키스도 못해봤다… 그게 가능한 일 이야? ,빵이나 먹어라? ,"하 참, 그것만 안해본줄 알았더니 키스도 안해봤어? ",니가 뭘 안다고! 경찰들이 뭘 안다고!!,그래요. 경찰들 무능하고 거지같은거 나도 알아! 하지만 최소한 당신이 죽인 그 경찰은 아니었어! 당신은 당신을 이해해줄 유일한 경찰을 죽인거라구!
니가 전화했지? ,"어, 맞어. ",어젠 어떻게 된거야? ,그래서. 가만히 입다물고 눈치나 보라구요? 이 거지같은 상황에서?,진짜 뒤집고 싶으면 증거부터 찾아오든가. 확실한 증거 없이는 죽었다 깨나도 영장 안나온다.
하려던 얘기가 뭐야? ,"쉬운 얘긴 아니야. 그러니까 나두 많이 망설이다 꺼내는 말이거든. 어쩜 내가 말해놓고 후회할지도 몰라. 그치만 그래두 한번은 내가 솔직해지는게, ",역시 그랬구나. 알구 있어. ,"진짜, 사람 귀찮게 하네. ","중요한 거니까, 확인 좀 합시다. "
조금만 기다려줘. ,"아니 뭐 건 어렵지 않은데, ",동생 맡겨놓구 나두 많이 미안했어. 때 되면 아버지한테 말씀 드리고 동생 빼갈게. ,..그런데..그게 위에 분들이 빨리 처리하라고..,위에 분 누가요? 누가 그랬는데?
점심 먹었어요? ,점심이요? 어머 시간이 벌써 그렇게 됐나...? ,아이 너무 열심히 일하네에. 밥 먹는 것두 잊었어요? ,"어두운 밤에 얼핏 본 증인이야. 지문만 안 나왔다면, 체포하지 않을 수도 있었어. ",그럼! 어떡하라구! 위에선 범인 달고 오라는데! 
야! 너 그거 누가 꺼내라 그랬- ,아르바이트 선금 받은거 다 털었거든? ,웬 아르바이트가 선금도 다 주- 안돼! ,용의자는 꼼꼼한 성격이었다고 들었어.,피해자 성문 확인됐어. 본인이 직접 전화한 게 맞다구. 일단 피해자 먼저 살려놔야지. 
아줌마 이렇게 단순무식한거 그 남자도 알아? ,"흥, 야, 내가 세상에서 자기를 제일 즐겁게 하는 여자라구, 그 사람이 그랬어. ",설마. ,트렁크 안이에요?,아뇨.. 넓어요. 
"늦었다, 늦었어! 오늘 면접인데에~ ",밥 줘. ,"맞다, 가방, 가방! ","그날, 형을 본 증인이 나왔어. 그리고 그 집에서 형 지문이 나왔다구. ",나 진짜 아니라니까!
너 여기 웬일이냐? ,아줌만 웬일이야? 남자 헌팅하러 왔어? ,"아니야, 친구랑 왔어-",설득을 하려고 해도 말을 안들어주는데 어떻게 합니까!,"앞으로도 이런식이면 아무도 니 말을 들어주지 않을 거야. 그때마다 한 명씩, 죽어나가겠지.  "
에에? 뭘 쳐요? ,수능. 대학입학 수학능력시험. ,"아 지금 내 나이가 몇인데, ",납치야. 어떤 놈인지 정신이 나간 거지. 요즘이 어떤 시댄데. 납치범은 잡기만 하면 한 계급 특진이라 형사들이 눈에 불을 키고 달려드는 데 말야. ,피해자는? 
